system:index,area,class,ring,state,year,.geo
2_1_1_1_1_2_0,1.8395629581014477E7,0,4-8km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_2_1,5.181010913093164E9,1,4-8km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_2_2,8.213829210855258E7,2,4-8km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_2_3,1002145.6323194316,3,4-8km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_2_4,7.233482890175436E8,4,4-8km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_2_5,8.763011294713721E8,5,4-8km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_2_6,2.957741205873889E8,6,4-8km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_2_7,8.435157541284081E7,7,4-8km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_2_8,1.1665495635413792E7,8,4-8km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_2_0,2.3079472538090724E7,0,4-8km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_2_1,5.354631283275414E9,1,4-8km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_2_2,5.180544279332108E7,2,4-8km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_2_3,1131804.2378982843,3,4-8km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_2_4,7.170224719128368E8,4,4-8km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_2_5,8.302626407312517E8,5,4-8km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_2_6,3.3864715991272205E8,6,4-8km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_2_7,1.3070798395684834E8,7,4-8km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_2_8,3.1504124631895296E7,8,4-8km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_0,1.5986707120484835E7,0,8-10km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_1,2.3798898208703446E9,1,8-10km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_2,2.4193510633115042E7,2,8-10km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_3,208440.82515701593,3,8-10km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_4,2.3380571056275368E8,4,8-10km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_5,4.5917315869480217E8,5,8-10km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
